Timestamp,RRI
1206425.3196043,1157.0
1206426.2795785,1147.0
1206427.2695677,1083.0
1206428.2897406,1138.0
1206429.2797362,1156.0
1206430.2695278,1100.0
1206431.2896165,1222.0
1206433.2696038,1219.0
1206434.2899572,1096.0
1206435.279853,1233.0
1206436.2695614,1255.0
1206436.6265565,0.0
1206455.2897716,1030.0
1206456.280051,1188.0
1206457.2695804,1157.0
1206458.2896071,1001.0
1206458.2896284,972.0
1206459.2798285,926.0
1206461.2897245,927.0
1206462.2796518,874.0
1206463.2695763,921.0
1206463.8359815,0.0
